"text","text_en","cmp_code","eu_code"
"από 13% στο 6% και για λιπάσματα,","from 13% to 6% and for fertilizers,","703.1",NA
"βιβλία και πολιτιστικά αγαθά από 6% στο 0%.","books and cultural goods from 6% to 0%.","502",NA
"Μείωση φορολογικού συντελεστή μικρών επιχειρήσεων στο 10%, μεσαίων στο 20%","Reduction of the tax rate for small businesses to 10%, medium businesses to 20%","402",NA
"αλλά και αύξηση για τις μεγάλες στο 30%.","and an increase for large businesses to 30%.","403",NA
"Κατάργηση όλων των προπληρωμών φόρων για τις μικρές και τις μεσαίες επιχειρήσεις.","Abolition of all prepayment of taxes for small and medium enterprises.","402",NA
"Κούρεμα χρεών & δανείων για τις ΜμΕ.","Debt & loan haircut for SMEs.","402",NA
"Κατάργηση Ηρακλή","Abolition of Hercules","409",NA
"– Προστασία πρώτης κατοικίας","- First Home Protection","504",NA
"– Ίδρυση Οργανισμού Κοινωνικής Στέγης","- Establishment of a Social Housing Agency","504",NA
"Άμεση κατάργηση «Ηρακλή».","Immediate abolition of ""Hercules"".","409",NA
"Προστασία πρώτης κατοικίας & ΜΜΕ από δημόσιο φορέα κόκκινων δανείων («Οδυσσέας»).","Protection of first home & SMEs by a public red loan agency (""Odysseus"").","402",NA
"Ίδρυση Οργανισμού Κοινωνικής Στέγης, που δεν θα δανείζει ούτε θα πουλάει σπίτια αλλά θα παρέχει άρτιες, ανθρώπινες και οικολογικά δομημένες κοινωνικές κατοικίες σε νέες/ους και στα λαϊκά στρώματα.","Establishment of a Social Housing Agency, which will neither lend nor sell houses but will provide sound, humane and ecologically constructed social housing to young people and the grassroots.","504",NA
"Καμία Εξόρυξη – Κανένας Αγωγός – Τεράστιο Επενδυτικό Πρόγραμμα Καμία εξόρυξη, κανένας αγωγός, όλα τα ορυκτά καύσιμα να παραμείνουν στα έγκατα της γης.","No Mining - No Pipelines - Huge Investment Program No mining, no pipelines, all fossil fuels to remain in the bowels of the earth.","416.2",NA
"Παράλληλα, τεράστιο επενδυτικό πρόγραμμα:","At the same time, a huge investment programme:","410",NA
"Κάθε Στέγη Ένα Φωτοβολταϊκό","Every Roof One Photovoltaic","416.2",NA
"Θαλάσσιες Ανεμογεννήτριες δημόσιας ιδιοκτησίας","Marine Wind Turbines of public ownership","416.2",NA
"| Πρόγραμμα Ανακύκλωσης στην πηγή με αξιοποίηση βιομάζας","| Source Recycling Program with Biomass Utilization","416.2",NA
"Πρόγραμμα εξοικονόμησης μέσω ενεργειακής αναβάθμισης κτιρίων","Savings Program through energy upgrading of buildings","416.2",NA
"|Η Ελλάδα το Μεσογειακό Κέντρο Παραγωγής & Διανομής Πράσινου Υδρογόνου.","|Greece The Mediterranean Production & Production Centre Green Hydrogen Distribution Centre.","416.2",NA
"Κοινωνικοποίηση Δημόσιας Υγείας, Παιδείας και Ενημέρωσης","Socialisation of Public Health, Education and Information","413",NA
"Ούτε κρατισμός-κομματισμός, ούτε ιδιωτικοποίηση.","No statism-partisanship, no privatisation.","413",NA
"Ο σχεδιασμός και έλεγχος της δημόσιας παιδείας, υγείας και ενημέρωσης στα χέρια Συμβουλίων Κληρωτών & Εκλεγμένων Πολιτών και η διοίκησή τους στα χέρια των εργαζόμενων σε αυτά.","The planning and control of public education, health and information in the hands of Councils of Clearingmen & Elected Citizens and their management in the hands of their workers.","202.1",NA
"Ανάκτηση δημοκρατικής κυριαρχίας στο Κράτος και στη Δημόσια Περιουσία ΑΑΔΕ, ΕΛΣΤΑΤ, Υπερταμείο, ΤΧΣ περνούν στο ελληνικό κράτος (από την τρόικα) και κοινωνικοποιούνται μέσω:","Reclaiming democratic sovereignty in the State and in Public Property The Hellenic State Revenue Service, ELSTAT, the Yperta Fund, the HFSF are transferred to the Greek State (from the Troika) and socialized through.","202.1",NA
"(Α) Λογοδοσίας σε Συμβούλια Κληρωτών & Εκλεγμένων Πολιτών,","and Elected Citizens' Councils,","202.1",NA
"και (Β) Ορισμού διοικήσεων από τη νέα ΚΟΙΝΩΝΙΚΗ ΕΠΙΤΡΟΠΗ ΕΠΙΛΟΓΗΣ ΑΝΩΤΑΤΟΥ ΠΡΟΣΩΠΙΚΟΥ.","and (B) Appointment of administrators by the new SOCIAL COMMITTEE FOR THE SELECTION OF SENIOR STAFF.","202.1",NA
"Ανάκτηση δημοκρατικής κυριαρχίας στις Συναλλαγές, τον δανεισμό Αγροτών, Βιοτεχνών & Start-ups Ένταξη Υπερταμείου, ΤΑΙΠΕΔ, ΤΧΣ κλπ στην νέα ΑΝΑΠΤΥΞΙΑΚΗ-ΑΓΡΟΤΙΚΗΤΡΑΠΕΖΑ και δημιουργία του Συστήματος Δημοσιονομικών Συναλλαγών «Δήμητρα».","Reclaiming democratic sovereignty in Transactions, lending to Farmers, Artisans & Start-ups Inclusion of the Super Fund, HFSF, HFSF etc. in the new DEVELOPMENT-FARMERS' BANK and creation of the ""Demeter"" Fiscal Transactions System.","202.1",NA
"Ανεξάρτητη Αδέσμευτη Εξωτερική Πολιτική","Independent Non-Aligned Foreign Policy","109",NA
"• Πρόσκληση σε Διεθνή Περιφερειακή Συνδιάσκεψη σε Όλες τις Μεσογειακές Χώρες","- Invitation to an International Regional Conference in all Mediterranean Countries","107",NA
"• Κατάργηση ορμητηρίων του στρατού, ναυτικού και αεροπορίας των ΗΠΑ","- Abolition of US Army, Navy and Air Force bases","109",NA
"• Απόσυρση από τον Άξονα Ισραήλ-Κύπρος-Αίγυπτος","- Withdrawal from the Israel-Cyprus-Egypt Axis","109",NA
"• Διεθνής Εκστρατεία για Νέο Κίνημα Αδέσμευτων","- International Campaign for a New Non-Aligned Movement","103.1",NA
