"text","text_en","cmp_code","eu_code"
"ενάντια στη λεγόμενη πράσινη μετάβαση των χρηματιστηρίων της Ενέργειας","against the so-called green transition of the energy stock exchanges","416.2",NA
", της αφαίμαξης των εργαζομένων",", the bleeding of the workers","701",NA
"και της περιβαλλοντικής καταστροφής,","and the environmental destruction,","501",NA
"ενάντια στον ιμπεριαλιστικό πόλεμο και την –με κάθε τρόπο– συμμετοχή της Ελλάδας σε αυτόν,","against the imperialist war and Greece's participation in it in every way,","106",NA
"ενάντια στους σχεδιασμούς του ΝΑΤΟ και της ΕΕ που χρυσοπληρώνει ο ελληνικός λαός με τις πολεμικές δαπάνες σήμερα και που θα καταλήξει να τον πληρώνει και με το αίμα των παιδιών του αύριο.","against the plans of NATO and the EU, which the Greek people are paying for with the war expenditures of today and which they will end up paying for with the blood of their children tomorrow.","105",NA
"Αυτό που επείγει είναι να ενισχυθεί το αγωνιστικό πνεύμα μέσα στην εργατική τάξη και όλο το λαό, σε συ- μπόρευση με το ΚΚΕ, που θα εκφράζεται και στην αλλα- γή των πολιτικών συσχετισμών παντού:","What is urgent is to strengthen the fighting spirit within the working class and the whole people, in cooperation with the KKE, which will also be expressed in the change of political correlations everywhere:","415",NA
"Από το πρωτο- βάθμιο σωματείο και το σύλλογο μέχρι τις βουλευτικές εκλογές, που θα γίνουν το αργότερο ως τις αρχές καλο- καιριού του 2023, αλλά και στις δημοτικές και περιφε- ρειακές εκλογές τον Οκτώβρη του 2023.","From the primary trade union and association to the parliamentary elections, which will take place by the beginning of summer 2023 at the latest, and to the municipal and regional elections in October 2023.","415",NA
"Γιατί μόνο ο λαός μπορεί να σώσει το λαό στον αγώνα για την ανατροπή και γι’ αυτό χρειάζεται ΚΚΕ πολύ πιο δυνατό.","Because only the people can save the people in the struggle for the overthrow and that is why we need a much stronger KKE.","305.1",NA
"Οι στιγμές που ζούμε είναι κρίσιμες.","These are critical moments.","103.1",NA
"Ο ιμπεριαλιστικός πόλεμος στην Ουκρανία φουντώνει.","The imperialist war in Ukraine is heating up.","103.1",NA
"Τα σχέδια προσάρτησης των κατεκτημένων εδαφών στη Ρωσική Ομοσπονδία από τη μία μεριά και η πολύμορφη στήριξη, ακόμη και με βαρύ οπλισμό, του ευρωατλαντικού στρατοπέδου στην αντιδραστική κυβέρνηση Ζελένσκι από την άλλη τροφοδοτούν τον φαύλο κύκλο του ιμπεριαλιστικού ανταγωνισμού και πολέμου.","The plans to annex the conquered territories to the Russian Federation on the one hand and the multiform support, even with heavy weapons, of the Euro-Atlantic camp to the reactionary Zelensky government on the other hand are feeding the vicious circle of imperialist competition and war.","103.1",NA
"Αποκορύφωμα είναι οι εκατέρωθεν απειλές για χρήση πυρηνικών όπλων.","The culmination of this is the mutual threats to use nuclear weapons.","106",NA
"Σε αυτές τις συνθήκες γίνεται επιτακτικό το αίτημα για απεμπλοκή της Ελλάδας από τον πόλεμο, για να σταματήσει η ελληνική επικράτεια και οι υποδομές της χώρας να μετατρέπονται σε «ορμητήρια πολέμου».","In these circumstances, the demand for Greece's disengagement from the war becomes imperative, in order to stop the Greek territory and the country's infrastructure from being turned into ""bases of war"".","103.1",NA
"Οι δολιοφθορές στους αγωγούς του «Nord Stream» και σε άλλες κρίσιμες υποδομές επιβεβαιώνουν αυτή την αναγκαιότητα.","The sabotage of the Nord Stream pipelines and other critical infrastructure confirms this necessity.","103.1",NA
"Την ίδια ώρα προστίθενται νέες εστίες έντασης και ιμπεριαλιστικών ανταγωνισμών ανάμεσα στο ευρω- ατλαντικό (ΗΠΑ - ΝΑΤΟ - ΕΕ) και το υπό διαμόρφωση ευρωασιατικό (Κίνα - Ρωσία) κέντρο.","At the same time, new sources of tension and imperialist rivalries between the Euro-Atlantic (USA - NATO - EU) and the emerging Euro-Asian (China - Russia) centre are being added.","415",NA
"Αναπόσπαστο κομμάτι αυτών των ανταγωνισμών είναι και η επιδείνωση στις ελληνοτουρκικές σχέσεις, με την κλιμάκωση της επι- θετικότητας της τουρκικής άρχουσας τάξης.","An integral part of these antagonisms is the deterioration in Greek-Turkish relations, with the escalating assertiveness of the Turkish ruling class.","102",NA
"Η επιδίωξη του ΝΑΤΟ να αποσπάσει την Τουρκία από τη ρωσική επιρροή -χάριν της ΝΑΤΟϊκής συνοχής- είναι βέβαιο ότι θα τροφοδοτήσει παζάρια και αντιπαραθέσεις με θύματα τους λαούς Ελλάδας και Τουρκίας, καθώς και τα κυ- ριαρχικά δικαιώματα της χώρας.","NATO's pursuit to detach Turkey from Russian influence - for the sake of NATO cohesion - is bound to fuel bargaining and confrontation, with the victims being the peoples of Greece and Turkey, as well as the country's sovereign rights.","105",NA
"Πυκνώνουν τα σύννεφα μιας νέας καπιταλιστικής οικονομικής κρίσης στην ΕΕ.","The clouds of a new capitalist economic crisis in the EU are gathering.","415",NA
"Κυβερνήσεις, διεθνείς οργανισμοί, αστικά πολιτικά κόμματα, Μέσα Μαζικής Ενημέρωσης προετοιμάζουν τους λαούς για τους «δύσκολους χειμώνες» που έρχονται.","Governments, international organisations, bourgeois political parties and the media are preparing the people for the 'hard winters' to come.","415",NA
"Μιλάνε για “έκτακτες καταστάσεις” και “πολεμικές συνθήκες”.","They talk about 'emergencies' and 'war conditions'.","415",NA
"Προαναγγέλλουν δυστοπικές εικόνες που περιλαμβάνουν “μεγάλες ελλείψεις στην Ενέργεια”, “δελ- τίο στα τρόφιμα”, “εκτίναξη της ακρίβειας”, “γενικευμένη φτώχεια”, “σκοτεινές πόλεις”, “κρύα σπίτια”.","They announce dystopian images including 'major energy shortages', 'food rationing', 'soaring prices', 'generalised poverty', 'dark cities', 'cold homes'.","415",NA
"Όλα αυτά δεν είναι “φυσικά φαινόμενα”, ούτε αποτέλεσμα μιας “κακής συγκυρίας”, όπως θέλουν να τα παρουσιάσουν.","All these are not 'natural phenomena', nor are they the result of 'bad weather', as they want to present them.","415",NA
"Δεν αποτελούν έτσι απλά μια “απόκλιση από την κανονικότητα, στην οποία κάποια στιγμή θα επι- στρέψουμε”, όπως λένε.","They are thus not simply a 'deviation from normality, which we will eventually turn to', as they say.","415",NA
"Πίσω από κάθε λαϊκό πρόβλημα, από τη φτώχεια, την ακρίβεια, τον πόλεμο μέχρι την καταστολή και τις υποκλοπές, ο ένοχος και οι αιτίες είναι οι ίδιες και έχουν ονοματεπώνυμο:","Behind every popular problem, from poverty, poverty, poverty, war to repression and interception, the culprit and the causes are the same and have a name:","415",NA
"Είναι η πολιτική, που ακολουθούν όλες οι αστι- κές κυβερνήσεις, η οποία θυσιάζει τις λαϊκές ανάγκες στο βωμό του καπιταλιστικού κέρδους.","It is the policy, followed by all bourgeois governments, which sacrifices the needs of the people on the altar of capitalist profit.","415",NA
"Άλλωστε, η “βα- ρυχειμωνιά” δεν τους αφορά όλους.","After all, the 'deep winter' does not concern everyone.","415",NA
"Την ίδια ώρα που τα λαϊκά νοικοκυριά δεν μπορούν να βγάλουν το μήνα, τα κέρδη των επιχειρηματικών ομίλων στην Ενέργεια, τις μεταφορές, τα τρόφιμα, τα φάρμακα, τον τουρισμό κι αλλού, σπάνε το ένα ρεκόρ μετά το άλλο.","At the same time that people's households cannot make ends meet, the profits of business groups in energy, transport, food, medicine, tourism and elsewhere are breaking record after record.","415",NA
"Είναι τα τεράστια αδιέξοδα, οι αντιθέσεις και οι αξεπέραστες αντιφάσεις του καπιταλιστικού δρόμου ανάπτυξης που έχει ως μοναδικό σκοπό και κίνητρο το κέρδος.","These are the huge deadlocks, contradictions and insurmountable contradictions of the capitalist path of development, which has profit as its sole purpose and motive.","415",NA
"Είναι η “κανονικότητα” ενός κράτους που θωρακίζει τη δικτατορία του κεφαλαίου για να αντιμετωπίσει τον “εχθρό-λαό”, σε μια περίοδο που φουντώνει η λαϊκή οργή.","It is the ""normality"" of a state that shields the dictatorship of capital to confront the ""enemy-people"" at a time when popular anger is flaring up.","415",NA
"Αυτό φυσικά που δε λένε και που δεν πρόκειται να πουν ποτέ είναι οι πραγματικές αιτίες για τη μεγάλη αντίφαση των καιρών:","What they don't say, of course, and what they will never say, are the real reasons for the great contradiction of the times:","415",NA
"Ότι στις σύγχρονες καπιταλιστικές κοινωνίες, παρά τα τεράστια επιστημονικά και τεχνολογικά επιτεύγματα, παρά τον διαρκώς αυξανόμενο πλούτο, οι λαοί καταδικάζονται να ζουν σε συνθήκες προηγούμενων αιώνων.","That in modern capitalist societies, despite enormous scientific and technological achievements, despite ever-increasing wealth, peoples are condemned to live in the conditions of previous centuries.","415",NA
"Τελικά, δεν είναι απειλητική η εποχή, αλλά ο κα- πιταλισμός που κάνει την εποχή απειλητική για το λαό.","Ultimately, it is not the age that is threatening, but capitalism that makes the age threatening for the people.","415",NA
"Γιατί αυτό το σύστημα δεν μπορεί να διορθωθεί, να βελτιωθεί, να γίνει ανθρώπινο.","For this system cannot be corrected, improved, made humane.","415",NA
"Όλες οι εξελίξεις δι- καιώνουν το ΚΚΕ που διακηρύσσει ότι ο καπιταλισμός είναι εχθρός των λαών και πως μόνη σωτηρία είναι η πάλη για την ανατροπή του.","All the developments confirm the KKE, which proclaims that capitalism is the enemy of the peoples and that the only salvation is the struggle for its overthrow.","415",NA
"Απέναντι στη ζοφερή κατάσταση, αποτελούν ανάσα ελπίδας και αισιοδοξίας οι αγώνες και μαζικές κινητοποιήσεις των εργαζομένων σε πολλές χώρες ενάντια στον πόλεμο και την εμπλοκή σε αυτόν,","In the face of this gloomy situation, the struggles and mass mobilisations of the workers in many countries against war and involvement in it are a breath of hope and optimism,","106",NA
"ενάντια στους υπέρογκους στρατιωτικούς εξοπλισμούς,","against the excessive military armaments,","105",NA
"ενάντια στις συνέπειες της ενεργειακής φτώχειας και ακρίβειας,","against the consequences of energy poverty and poverty,","503",NA
"ενάντια στην προσπάθεια να φορτωθεί για μια ακόμη φορά στις πλάτες των εργαζομένων ο λογαριασμός του πολέμου,","against the attempt to put once again on the backs of the workers the bill of the war, of","701",NA
"των εκατέρωθεν κυρώσεων,","the sanctions on both sides, of","103.1",NA
"της πολύπλευρης στήριξης του κεφαλαίου.","the multifaceted support of capital, are","415",NA
"Τα επιτελεία του συστήματος ανησυχούν για το ενδεχόμενο η λαϊκή οργή να αποκτήσει ριζοσπαστικό περιεχόμενο και προσανατολισμό.","The system's staffs are worried about the possibility that the popular anger will acquire a radical content and orientation.","415",NA
"Οι δυσκολίες που αντιμετωπίζουν όλο και περισσότερες κυβερνήσεις – κεντροδεξιές, κεντροαριστερές, φιλελεύθερες, σοσιαλ- δημοκρατικές κ.λπ. - αποδεικνύει ότι οι αντιθέσεις οξύνονται, ότι δεν είναι όλα ακίνητα, ότι τελικά δεν είναι παντοδύναμοι.","The difficulties faced by an increasing number of governments - centre-right, centre-left, liberal, social democratic, etc. - show that the contradictions are sharpening, that not everything is immovable, that after all they are not omnipotent.","415",NA
"Αντίθετα μπορούν να δημιουργηθούν δυνατότητες κλονισμού της εξουσίας του κεφαλαίου.","On the contrary, possibilities can be created to shake the power of capital.","415",NA
"Αρκεί οι λαοί να εμπιστευθούν τη δύναμή τους, να αξιο- ποιήσουν προς όφελός τους αυτές τις δυσκολίες και όχι να βάλουν πλάτη στο “μπάλωμά” τους, για να πάρει το βάρβαρο σύστημα μια ακόμη ανάσα.","As long as the people trust in their own strength, to use these difficulties to their advantage and not to back their ""balloon"", the barbaric system will take another breath.","606.2",NA
"Η συζήτηση και στην Ελλάδα γύρω από τη λε- γόμενη πολιτική σταθερότητα -ανεξάρτητα από το πώς την εννοεί και πώς την επιδιώκει το κάθε αστικό κόμ- μα- έχει ως κύριο στόχο την απρόσκοπτη εφαρμογή της αντιλαϊκής πολιτικής.","In Greece too, the debate about so-called political stability - regardless of how each bourgeois party understands it and how it seeks it - has as its main objective the unimpeded implementation of anti-people's policies.","305.1",NA
"Είναι η άλλη όψη των μέτρων καταστολής και αυταρχισμού για τη χειραγώγηση του λαού.","It is the other side of the repressive and authoritarian measures to manipulate the people.","305.1",NA
"Είναι “σταθερότητα” για το κεφάλαιο, “αστάθεια” και ανασφάλεια για το λαό.","It is ""stability"" for capital, ""instability"" and insecurity for the people.","415",NA
"Παρά τις οξυμένες αντιπαραθέσεις και τους υψηλούς τόνους τόσο η κυβέρνηση της ΝΔ όσο και ο ΣΥΡΙΖΑ, το ΠΑΣΟΚ/ΚΙΝΑΛ, τα άλλα κόμματα ομονοούν στο στόχο της “σταθερότητας” για λογαριασμό του κεφαλαίου και ανταγωνίζονται για το ποιος μπορεί καλύτερα να τον εγγυηθεί.","Despite the heated debates and high tones, both the New Democracy government and SYRIZA, PASOK/KINAL, the other parties are united in the goal of ""stability"" on behalf of capital and are competing over who can best guarantee it.","415",NA
"Μιλούν για την ανάγκη «διασφάλισης της κοινωνικής συνοχής» και «αποφυγής της έντασης».","They talk about the need to ""ensure social cohesion"" and ""avoid tension"".","305.1",NA
"Η ΝΔ υπηρετεί αυτόν το στόχο μέσα από την επιδίωξη της κυβερνητικής αυτοδυναμίας και την αποφασιστικότητά της απέναντι στο λαό,","ND serves this goal through the pursuit of governmental self-reliance and its determination towards the people,","305.1",NA
"ο ΣΥΡΙΖΑ μέσα από τη γνωστή και χρεοκοπημένη συνταγή των ονομαζόμενων “δημοκρατικών κυβερνήσεων” που -όπου προκύπτουν- ακολουθούν τον ίδιο δρόμο που οδηγεί στην ακρίβεια, τη φτώχεια, τους πολεμικούς κιν- δύνους.","SYRIZA through the well-known and bankrupt recipe of so-called ""democratic governments"" which - where they arise - follow the same path that leads to precision, poverty, war crimes.","305.1",NA
"Το δε ΠΑΣΟΚ/ ΚΙΝΑΛ στηρίζεται από κέντρα του οικονομικού και πολιτικού κατεστημένου ως ένας “μπαλαντέρ” μελλοντικών αντιλαϊκών κυβερνητικών λύσεων.","And PASOK/KINAL is supported by centres of the economic and political establishment as a ""wild card"" for future unpopular government solutions.","305.1",NA
"Όμως, το πρόγραμμα της σημερινής ή της επόμενης κυβέρνησης -όπως κι αν ονομάζεται, όποια σύνθεση κι αν έχει- είναι ήδη γνωστό.","However, the programme of the current or the next government - whatever its name, whatever its composition - is already known.","305.1",NA
"Είναι το πρόγραμμα που θα συνεχίζει την πολιτι- κή μετατροπής της Ενέργειας σε πανάκριβο εμπόρευμα στο πλαίσιο της “απελευθερωμένης” αγοράς.","It is the programme that will continue the policy of turning energy into an expensive commodity in the context of the 'liberalised' market.","406",NA
"Θα συνε- χίζει να υλοποιεί τη στρατηγική της λεγόμενης πράσινης μετάβασης και της “απελευθέρωσης της Ενέργειας”, βα- σικής αιτίας της ενεργειακής φτώχειας, που υπήρχε και πριν από το ξέσπασμα του πολέμου.","It will continue to implement the strategy of the so-called green transition and the 'liberalisation of energy', the root cause of energy poverty, which existed before the outbreak of the war.","406",NA
"Εξάλλου, είναι οι κυβερνήσεις της ΝΔ και του ΣΥΡΙΖΑ που έκλεισαν και απαξίωσαν εγχώριες παραγωγικές μονάδες, όπως το λιγνίτη.","After all, it is the ND and SYRIZA governments that have closed down and devalued domestic production units, such as lignite.","501",NA
"Θέσπισαν το εμπόριο ρύπων, το χρηματιστήριο Ενέργειας, τα “πράσινα” χαράτσια και τις ρήτρες ανα- προσαρμογής.","They introduced emissions trading, the Energy Exchange, green levies and readjustment clauses.","501",NA
"Ο λαός πληρώνει και θα πληρώνει ένα πανάκριβο ενεργειακό μείγμα με βάση το εισαγόμενο φυσικό αέριο και τώρα το ακόμη πιο ακριβό αμερικανι- κό υγροποιημένο αέριο (LNG).","The people are paying and will continue to pay for an expensive energy mix based on imported natural gas and now even more expensive US liquefied natural gas (LNG).","406",NA
"Είναι το πρόγραμμα που θα αναπαράγει την ακρίβεια που αποτελεί συνέπεια των κυρώσεων προς τη Ρωσία, αλλά και αποτέλεσμα της λεγόμενης εξωστρέ- φειας, που διαμορφώνει τις τιμές στα εγχώρια προϊόντα με βάση τη διεθνή αγορά, της περιβόητης “επεκτατικής” πολιτικής.","It is the program that will reproduce the precision that is a consequence of the sanctions on Russia, but also a result of the so-called extraversion, which sets prices on domestic products based on the international market, the notorious 'expansionist' policy.","406",NA
"Όλα αυτά που ήρθαν να προστεθούν πάνω στο πετσοκομμένο εργατικό-λαϊκό εισόδημα από την πολιτική των μνημονίων που διαρκώς εμπλουτίζεται με νέους αντεργατικούς νόμους.","All this came on top of the slashed workers' and people's income from the policy of memoranda, which is constantly being enriched with new anti-labour laws.","701",NA
"Είναι το πρόγραμμα που θα υλοποιεί τις δεσμεύ- σεις της ΕΕ και του Ταμείου Ανάκαμψης.","It is the programme that will implement the commitments of the EU and the Recovery Fund.","110",NA
"Οι πανηγυρι- σμοί για την “έξοδο από την ενισχυμένη εποπτεία” που δήθεν σηματοδοτεί το τέλος της μνημονιακής εποχής είναι σκέτη κοροϊδία!","The celebrations about the ""exit from enhanced surveillance"" which supposedly marks the end of the memorandum era are a complete mockery!","110",NA
"Όχι μόνο γιατί τα δυσβάσταχτα βάρη, που επιβλήθηκαν στον ελληνικό λαό την τελευ- ταία δεκαετία παραμένουν στο ακέραιο,","Not only because the unbearable burdens imposed on the Greek people over the last decade remain intact","110",NA
"αλλά και γιατί η περίφημη “κανονικότητα της ΕΕ” συνοδεύεται από μόνι- μες δεσμεύσεις και μηχανισμούς ελέγχου.",", but also because the famous 'normalcy of the EU' is accompanied by permanent commitments and control mechanisms.","110",NA
"Υπάρχουν τα προαπαιτούμενα του Ταμείου Ανάκαμψης, που αποτελεί το νέο “υπερμνημόνιο” σε βάρος των λαών της Ευρώπης και επιπλέον στις “ειδικές συνθήκες” που φέρνει ο πόλεμος και η επερχόμενη κρίση, με θύματα τους λαούς.","There are the preconditions of the Recovery Fund, which is the new 'super-memorandum' at the expense of the peoples of Europe and, moreover, in the 'special circumstances' brought about by the war and the coming crisis, with the people as victims.","110",NA
"Είναι το πρόγραμμα που θα υλοποιεί τις δε- σμεύσεις του ελληνικού κράτους απέναντι στο ΝΑΤΟ","It is the programme that will implement the commitments of the Greek state towards NATO","105",NA
"και την ΕΕ,","and the EU,","110",NA
"αλλά και τις στρατιωτικές συμφωνίες με ΗΠΑ, Γαλλία κ.ά.","but also the military agreements with the USA, France, etc.","105",NA
"Είναι δεσμεύσεις για χάρη των συμφερόντων του ελληνικού κεφαλαίου που, μέσα από το ρόλο του “σημαιοφόρου” στους επικίνδυνους πολεμικούς σχεδιασμούς, επιδιώκει τη γεωπολιτική και οικονομική του αναβάθμιση.","They are commitments for the sake of the interests of Greek capital which, through its role as ""standard-bearer"" in the dangerous war plans, seeks its geopolitical and economic upgrading.","415",NA
"Είναι δεσμεύσεις που με- τατρέπουν την ελληνική επικράτεια σε αμερικανοΝΑΤΟϊκό ορμητήριο, αλλά και σε στόχο αντιποίνων, αν η ιμπεριαλιστική σύγκρουση γενικευτεί.","They are commitments that turn Greek territory into an American-NATO base, but also into a target for retaliation if the imperialist conflict becomes generalised.","103.1",NA
"Που κατατάσσουν την Ελλάδα “πρωταθλήτρια” στις στρατιωτικές δαπάνες για τις ανάγκες του ΝΑΤΟ, στέλνοντας το λογαριασμό στο λαό.","They rank Greece as the ""champion"" in military spending for NATO needs, sending the bill to the people.","105",NA
"Στο πλαίσιο αυτών των δεσμεύσεων, όχι μόνο δεν θωρακίζονται τα κυριαρχικά δικαιώματα της χώρας έναντι της επιθετικότητας του τουρκικού κράτους, αλλά αντίθετα υπονομεύονται.","In the context of these commitments, not only are the country's sovereign rights not being shielded against the aggression of the Turkish state, but on the contrary they are being undermined.","103.1",NA
"Το ΝΑΤΟ και η ΕΕ στρώνουν το έδαφος που μπορεί να οδηγήσει σε μια ελληνοτουρ- κική σύγκρουση","NATO and the EU are paving the ground that could lead to a Greek-Turkish conflict","105",NA
"κι έναν επώδυνο συμβιβασμό για τα κυ- ριαρχικά δικαιώματα με ευρωατλαντική σφραγίδα.","and a painful compromise on sovereign rights with a Euro-Atlantic stamp.","103.1",NA
"Αυτή η κοινή στρατηγική βάση είναι που διαμορφώνει το έδαφος πάνω στο οποίο αναπτύσσονται διάφορα σενάρια κυβερνήσεων “συνεργασίας”, “εθνικής ομοψυχίας” ακόμη και ενός “μεγάλου συνασπισμού” με τη συμμετοχή και τεχνοκρατών, αν αυτό απαιτηθεί από την ανάγκη σταθερότητας του συστήματος.","It is this common strategic basis that is shaping the ground on which various scenarios of 'cooperation' governments, 'national unity' and even a 'grand coalition' with the participation of technocrats, if this is required by the need for stability in the system.","305.1",NA
"Τα ψεύτικα διλήμματα, που σερβίρονται προεκλογικά, μοναδικό στόχο έχουν να συγκαλύψουν αυτή την πραγματικότητα και να στήσουν νέες παγίδες και εκβιασμούς στο λαό.","The false dilemmas served up during the election campaign have the sole aim of concealing this reality and setting new traps and blackmailing the people.","305.1",NA
"Η ΝΔ φοβερίζει το λαό με τις κυβερνητικές «πο- λιτικές τερατογενέσεις», τις οποίες η ίδια τάχα θέλει να αποτρέψει.","The New Democracy Party is scaring the people with the government's 'political monstrosities', which it itself supposedly wants to prevent.","305.1",NA
"Ο ΣΥΡΙΖΑ σερβίρει την ξαναζεσταμένη σού- πα των δήθεν “προοδευτικών” ή “δημοκρατικών” κυβερ- νήσεων, που θα επαναφέρουν την “κανονικότητα της ΕΕ” που δήθεν διαταράσσει η κυβέρνηση Μητσοτάκη.","SYRIZA serves up the reheated soup of supposedly 'progressive' or 'democratic' governments that will restore the 'normality of the EU' that the Mitsotakis government is supposedly disrupting.","305.1",NA
"Το ΚΚΕ δεν έχει καμία σχέση με τα πολιτικά τους παιχνίδια, όπως άλλωστε το έχει αποδείξει όλα αυτά τα χρόνια με τη στάση μαχητικής αντιπολίτευσης σε όλες τις αντιλαϊκές αστικές κυβερνήσεις όπως κι αν αυτοχαρακτηρίζονται.","The KKE has nothing to do with their political games, as it has proven over the years by its militant opposition to all anti-people's bourgeois governments, however they describe themselves.","305.1",NA
"Εξάλλου, πλέον έχει συγκεντρωθεί πλού- σια πείρα στο λαό που αποδεικνύει ότι στο πλαίσιο του καπιταλιστικού δρόμου ανάπτυξης δεν μπορεί να υπάρ- ξει “δίκαιη”, “προοδευτική”, “δημοκρατική” διαχείριση.","Moreover, a wealth of experience has now been accumulated among the people, which proves that there can be no 'just', 'progressive', 'democratic' management within the framework of the capitalist path of development.","606.2",NA
"Γι’ αυτό το ΚΚΕ δεν πρόκειται να δείξει ανοχή σε μια κυβέρνηση διαχείρισης της καπιταλιστικής βαρβα- ρότητας όποιο όνομα κι αν χρησιμοποιήσει.","That is why the KKE will not tolerate a government of capitalist barbarism, whatever name it uses.","415",NA
"Γιατί καμία πρόταση αστικής διαχείρισης δεν μπορεί να άρει τις νο- μοτέλειες της καπιταλιστικής οικονομίας και να θερα- πεύσει τις κρίσεις του “μεγάλου ασθενούς”, να δώσει “διέξοδο” στα αδιέξοδα του ίδιου του καπιταλισμού.","For no proposal of bourgeois management can remove the defects of the capitalist economy and cure the crises of the ""big patient"", give a ""way out"" of the deadlocks of capitalism itself.","415",NA
"Οτιδήποτε λειτουργεί σαν “φάρμακο” σε μια φάση, απο- δεικνύεται “δηλητήριο” για την επόμενη.","Whatever works as a 'medicine' in one phase turns out to be a 'poison' for the next.","415",NA
