Party,Title,Topic,Stance,Content
Φωνή_Λογικής,Ίδρυση Μη Κρατικών Πανεπιστημίων (2024),Παιδεία,ΥΠΕΡ,Το κόμμα Φωνή_Λογικής ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Ίδρυση Μη Κρατικών Πανεπιστημίων (2024)' που αφορά την κατηγορία: Παιδεία.
Εθνικό_Κόμμα_Έλληνες,Ίδρυση Μη Κρατικών Πανεπιστημίων (2024),Παιδεία,ΚΑΤΑ,Το κόμμα Εθνικό_Κόμμα_Έλληνες ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Ίδρυση Μη Κρατικών Πανεπιστημίων (2024)' που αφορά την κατηγορία: Παιδεία.
ΝΔ,Επιστολική Ψήφος (2024),Θεσμοί,ΥΠΕΡ,Το κόμμα ΝΔ ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Επιστολική Ψήφος (2024)' που αφορά την κατηγορία: Θεσμοί.
ΕΛΑΣ,Επιστολική Ψήφος (2024),Θεσμοί,ΚΑΤΑ,Το κόμμα ΕΛΑΣ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Επιστολική Ψήφος (2024)' που αφορά την κατηγορία: Θεσμοί.
ΠΑΣΟΚ,Επιστολική Ψήφος (2024),Θεσμοί,ΚΑΤΑ,Το κόμμα ΠΑΣΟΚ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Επιστολική Ψήφος (2024)' που αφορά την κατηγορία: Θεσμοί.
ΚΚΕ,Επιστολική Ψήφος (2024),Θεσμοί,ΚΑΤΑ,Το κόμμα ΚΚΕ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Επιστολική Ψήφος (2024)' που αφορά την κατηγορία: Θεσμοί.
Ελληνική_Λύση,Επιστολική Ψήφος (2024),Θεσμοί,ΚΑΤΑ,Το κόμμα Ελληνική_Λύση ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Επιστολική Ψήφος (2024)' που αφορά την κατηγορία: Θεσμοί.
Πλεύση_Ελευθερίας,Επιστολική Ψήφος (2024),Θεσμοί,ΚΑΤΑ,Το κόμμα Πλεύση_Ελευθερίας ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Επιστολική Ψήφος (2024)' που αφορά την κατηγορία: Θεσμοί.
ΜέΡΑ25,Επιστολική Ψήφος (2024),Θεσμοί,ΚΑΤΑ,Το κόμμα ΜέΡΑ25 ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Επιστολική Ψήφος (2024)' που αφορά την κατηγορία: Θεσμοί.
Φωνή_Λογικής,Επιστολική Ψήφος (2024),Θεσμοί,ΥΠΕΡ,Το κόμμα Φωνή_Λογικής ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Επιστολική Ψήφος (2024)' που αφορά την κατηγορία: Θεσμοί.
Εθνικό_Κόμμα_Έλληνες,Επιστολική Ψήφος (2024),Θεσμοί,ΚΑΤΑ,Το κόμμα Εθνικό_Κόμμα_Έλληνες ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Επιστολική Ψήφος (2024)' που αφορά την κατηγορία: Θεσμοί.
ΝΔ,Αμυντική Συμφωνία Ελλάδας-Γαλλίας (Rafale/Belharra) (2021),Άμυνα,ΥΠΕΡ,Το κόμμα ΝΔ ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Αμυντική Συμφωνία Ελλάδας-Γαλλίας (Rafale/Belharra) (2021)' που αφορά την κατηγορία: Άμυνα.
ΕΛΑΣ,Αμυντική Συμφωνία Ελλάδας-Γαλλίας (Rafale/Belharra) (2021),Άμυνα,ΚΑΤΑ,Το κόμμα ΕΛΑΣ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Αμυντική Συμφωνία Ελλάδας-Γαλλίας (Rafale/Belharra) (2021)' που αφορά την κατηγορία: Άμυνα.
ΠΑΣΟΚ,Αμυντική Συμφωνία Ελλάδας-Γαλλίας (Rafale/Belharra) (2021),Άμυνα,ΥΠΕΡ,Το κόμμα ΠΑΣΟΚ ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Αμυντική Συμφωνία Ελλάδας-Γαλλίας (Rafale/Belharra) (2021)' που αφορά την κατηγορία: Άμυνα.
ΚΚΕ,Αμυντική Συμφωνία Ελλάδας-Γαλλίας (Rafale/Belharra) (2021),Άμυνα,ΚΑΤΑ,Το κόμμα ΚΚΕ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Αμυντική Συμφωνία Ελλάδας-Γαλλίας (Rafale/Belharra) (2021)' που αφορά την κατηγορία: Άμυνα.
Ελληνική_Λύση,Αμυντική Συμφωνία Ελλάδας-Γαλλίας (Rafale/Belharra) (2021),Άμυνα,ΥΠΕΡ,Το κόμμα Ελληνική_Λύση ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Αμυντική Συμφωνία Ελλάδας-Γαλλίας (Rafale/Belharra) (2021)' που αφορά την κατηγορία: Άμυνα.
Πλεύση_Ελευθερίας,Αμυντική Συμφωνία Ελλάδας-Γαλλίας (Rafale/Belharra) (2021),Άμυνα,ΠΑΡΩΝ,Το κόμμα Πλεύση_Ελευθερίας ψήφισε 'ΠΑΡΩΝ' στο νομοσχέδιο 'Αμυντική Συμφωνία Ελλάδας-Γαλλίας (Rafale/Belharra) (2021)' που αφορά την κατηγορία: Άμυνα.
ΜέΡΑ25,Αμυντική Συμφωνία Ελλάδας-Γαλλίας (Rafale/Belharra) (2021),Άμυνα,ΚΑΤΑ,Το κόμμα ΜέΡΑ25 ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Αμυντική Συμφωνία Ελλάδας-Γαλλίας (Rafale/Belharra) (2021)' που αφορά την κατηγορία: Άμυνα.
Φωνή_Λογικής,Αμυντική Συμφωνία Ελλάδας-Γαλλίας (Rafale/Belharra) (2021),Άμυνα,ΥΠΕΡ,Το κόμμα Φωνή_Λογικής ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Αμυντική Συμφωνία Ελλάδας-Γαλλίας (Rafale/Belharra) (2021)' που αφορά την κατηγορία: Άμυνα.
Εθνικό_Κόμμα_Έλληνες,Αμυντική Συμφωνία Ελλάδας-Γαλλίας (Rafale/Belharra) (2021),Άμυνα,ΥΠΕΡ,Το κόμμα Εθνικό_Κόμμα_Έλληνες ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Αμυντική Συμφωνία Ελλάδας-Γαλλίας (Rafale/Belharra) (2021)' που αφορά την κατηγορία: Άμυνα.
ΝΔ,Ελληνοαμερικανική Αμυντική Συμφωνία (MDCA) (2022),Εξωτερική Πολιτική,ΥΠΕΡ,Το κόμμα ΝΔ ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Ελληνοαμερικανική Αμυντική Συμφωνία (MDCA) (2022)' που αφορά την κατηγορία: Εξωτερική Πολιτική.
ΕΛΑΣ,Ελληνοαμερικανική Αμυντική Συμφωνία (MDCA) (2022),Εξωτερική Πολιτική,ΚΑΤΑ,Το κόμμα ΕΛΑΣ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Ελληνοαμερικανική Αμυντική Συμφωνία (MDCA) (2022)' που αφορά την κατηγορία: Εξωτερική Πολιτική.
ΠΑΣΟΚ,Ελληνοαμερικανική Αμυντική Συμφωνία (MDCA) (2022),Εξωτερική Πολιτική,ΥΠΕΡ,Το κόμμα ΠΑΣΟΚ ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Ελληνοαμερικανική Αμυντική Συμφωνία (MDCA) (2022)' που αφορά την κατηγορία: Εξωτερική Πολιτική.
ΚΚΕ,Ελληνοαμερικανική Αμυντική Συμφωνία (MDCA) (2022),Εξωτερική Πολιτική,ΚΑΤΑ,Το κόμμα ΚΚΕ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Ελληνοαμερικανική Αμυντική Συμφωνία (MDCA) (2022)' που αφορά την κατηγορία: Εξωτερική Πολιτική.
Ελληνική_Λύση,Ελληνοαμερικανική Αμυντική Συμφωνία (MDCA) (2022),Εξωτερική Πολιτική,ΚΑΤΑ,Το κόμμα Ελληνική_Λύση ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Ελληνοαμερικανική Αμυντική Συμφωνία (MDCA) (2022)' που αφορά την κατηγορία: Εξωτερική Πολιτική.
Πλεύση_Ελευθερίας,Ελληνοαμερικανική Αμυντική Συμφωνία (MDCA) (2022),Εξωτερική Πολιτική,ΚΑΤΑ,Το κόμμα Πλεύση_Ελευθερίας ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Ελληνοαμερικανική Αμυντική Συμφωνία (MDCA) (2022)' που αφορά την κατηγορία: Εξωτερική Πολιτική.
ΜέΡΑ25,Ελληνοαμερικανική Αμυντική Συμφωνία (MDCA) (2022),Εξωτερική Πολιτική,ΚΑΤΑ,Το κόμμα ΜέΡΑ25 ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Ελληνοαμερικανική Αμυντική Συμφωνία (MDCA) (2022)' που αφορά την κατηγορία: Εξωτερική Πολιτική.
Φωνή_Λογικής,Ελληνοαμερικανική Αμυντική Συμφωνία (MDCA) (2022),Εξωτερική Πολιτική,ΥΠΕΡ,Το κόμμα Φωνή_Λογικής ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Ελληνοαμερικανική Αμυντική Συμφωνία (MDCA) (2022)' που αφορά την κατηγορία: Εξωτερική Πολιτική.
Εθνικό_Κόμμα_Έλληνες,Ελληνοαμερικανική Αμυντική Συμφωνία (MDCA) (2022),Εξωτερική Πολιτική,ΚΑΤΑ,Το κόμμα Εθνικό_Κόμμα_Έλληνες ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Ελληνοαμερικανική Αμυντική Συμφωνία (MDCA) (2022)' που αφορά την κατηγορία: Εξωτερική Πολιτική.
ΝΔ,Νέος Ποινικός Κώδικας - Αυστηροποίηση Ποινών (2024),Δικαιοσύνη,ΥΠΕΡ,Το κόμμα ΝΔ ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Νέος Ποινικός Κώδικας - Αυστηροποίηση Ποινών (2024)' που αφορά την κατηγορία: Δικαιοσύνη.
ΕΛΑΣ,Νέος Ποινικός Κώδικας - Αυστηροποίηση Ποινών (2024),Δικαιοσύνη,ΚΑΤΑ,Το κόμμα ΕΛΑΣ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νέος Ποινικός Κώδικας - Αυστηροποίηση Ποινών (2024)' που αφορά την κατηγορία: Δικαιοσύνη.
ΠΑΣΟΚ,Νέος Ποινικός Κώδικας - Αυστηροποίηση Ποινών (2024),Δικαιοσύνη,ΚΑΤΑ,Το κόμμα ΠΑΣΟΚ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νέος Ποινικός Κώδικας - Αυστηροποίηση Ποινών (2024)' που αφορά την κατηγορία: Δικαιοσύνη.
ΚΚΕ,Νέος Ποινικός Κώδικας - Αυστηροποίηση Ποινών (2024),Δικαιοσύνη,ΚΑΤΑ,Το κόμμα ΚΚΕ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νέος Ποινικός Κώδικας - Αυστηροποίηση Ποινών (2024)' που αφορά την κατηγορία: Δικαιοσύνη.
Ελληνική_Λύση,Νέος Ποινικός Κώδικας - Αυστηροποίηση Ποινών (2024),Δικαιοσύνη,ΠΑΡΩΝ,Το κόμμα Ελληνική_Λύση ψήφισε 'ΠΑΡΩΝ' στο νομοσχέδιο 'Νέος Ποινικός Κώδικας - Αυστηροποίηση Ποινών (2024)' που αφορά την κατηγορία: Δικαιοσύνη.
Πλεύση_Ελευθερίας,Νέος Ποινικός Κώδικας - Αυστηροποίηση Ποινών (2024),Δικαιοσύνη,ΚΑΤΑ,Το κόμμα Πλεύση_Ελευθερίας ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νέος Ποινικός Κώδικας - Αυστηροποίηση Ποινών (2024)' που αφορά την κατηγορία: Δικαιοσύνη.
ΜέΡΑ25,Νέος Ποινικός Κώδικας - Αυστηροποίηση Ποινών (2024),Δικαιοσύνη,ΚΑΤΑ,Το κόμμα ΜέΡΑ25 ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νέος Ποινικός Κώδικας - Αυστηροποίηση Ποινών (2024)' που αφορά την κατηγορία: Δικαιοσύνη.
Φωνή_Λογικής,Νέος Ποινικός Κώδικας - Αυστηροποίηση Ποινών (2024),Δικαιοσύνη,ΥΠΕΡ,Το κόμμα Φωνή_Λογικής ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Νέος Ποινικός Κώδικας - Αυστηροποίηση Ποινών (2024)' που αφορά την κατηγορία: Δικαιοσύνη.
Εθνικό_Κόμμα_Έλληνες,Νέος Ποινικός Κώδικας - Αυστηροποίηση Ποινών (2024),Δικαιοσύνη,ΥΠΕΡ,Το κόμμα Εθνικό_Κόμμα_Έλληνες ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Νέος Ποινικός Κώδικας - Αυστηροποίηση Ποινών (2024)' που αφορά την κατηγορία: Δικαιοσύνη.
ΝΔ,Εργασιακό Νομοσχέδιο (Νόμος Γεωργιάδη - 13 ώρες) (2023),Εργασία,ΥΠΕΡ,Το κόμμα ΝΔ ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Εργασιακό Νομοσχέδιο (Νόμος Γεωργιάδη - 13 ώρες) (2023)' που αφορά την κατηγορία: Εργασία.
ΕΛΑΣ,Εργασιακό Νομοσχέδιο (Νόμος Γεωργιάδη - 13 ώρες) (2023),Εργασία,ΚΑΤΑ,Το κόμμα ΕΛΑΣ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Εργασιακό Νομοσχέδιο (Νόμος Γεωργιάδη - 13 ώρες) (2023)' που αφορά την κατηγορία: Εργασία.
ΠΑΣΟΚ,Εργασιακό Νομοσχέδιο (Νόμος Γεωργιάδη - 13 ώρες) (2023),Εργασία,ΚΑΤΑ,Το κόμμα ΠΑΣΟΚ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Εργασιακό Νομοσχέδιο (Νόμος Γεωργιάδη - 13 ώρες) (2023)' που αφορά την κατηγορία: Εργασία.
ΚΚΕ,Εργασιακό Νομοσχέδιο (Νόμος Γεωργιάδη - 13 ώρες) (2023),Εργασία,ΚΑΤΑ,Το κόμμα ΚΚΕ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Εργασιακό Νομοσχέδιο (Νόμος Γεωργιάδη - 13 ώρες) (2023)' που αφορά την κατηγορία: Εργασία.
Ελληνική_Λύση,Εργασιακό Νομοσχέδιο (Νόμος Γεωργιάδη - 13 ώρες) (2023),Εργασία,ΚΑΤΑ,Το κόμμα Ελληνική_Λύση ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Εργασιακό Νομοσχέδιο (Νόμος Γεωργιάδη - 13 ώρες) (2023)' που αφορά την κατηγορία: Εργασία.
Πλεύση_Ελευθερίας,Εργασιακό Νομοσχέδιο (Νόμος Γεωργιάδη - 13 ώρες) (2023),Εργασία,ΚΑΤΑ,Το κόμμα Πλεύση_Ελευθερίας ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Εργασιακό Νομοσχέδιο (Νόμος Γεωργιάδη - 13 ώρες) (2023)' που αφορά την κατηγορία: Εργασία.
ΜέΡΑ25,Εργασιακό Νομοσχέδιο (Νόμος Γεωργιάδη - 13 ώρες) (2023),Εργασία,ΚΑΤΑ,Το κόμμα ΜέΡΑ25 ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Εργασιακό Νομοσχέδιο (Νόμος Γεωργιάδη - 13 ώρες) (2023)' που αφορά την κατηγορία: Εργασία.
Φωνή_Λογικής,Εργασιακό Νομοσχέδιο (Νόμος Γεωργιάδη - 13 ώρες) (2023),Εργασία,ΥΠΕΡ,Το κόμμα Φωνή_Λογικής ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Εργασιακό Νομοσχέδιο (Νόμος Γεωργιάδη - 13 ώρες) (2023)' που αφορά την κατηγορία: Εργασία.
Εθνικό_Κόμμα_Έλληνες,Εργασιακό Νομοσχέδιο (Νόμος Γεωργιάδη - 13 ώρες) (2023),Εργασία,ΚΑΤΑ,Το κόμμα Εθνικό_Κόμμα_Έλληνες ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Εργασιακό Νομοσχέδιο (Νόμος Γεωργιάδη - 13 ώρες) (2023)' που αφορά την κατηγορία: Εργασία.
ΝΔ,Εργασιακό Νομοσχέδιο (Νόμος Χατζηδάκη - Διευθέτηση) (2021),Εργασία,ΥΠΕΡ,Το κόμμα ΝΔ ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Εργασιακό Νομοσχέδιο (Νόμος Χατζηδάκη - Διευθέτηση) (2021)' που αφορά την κατηγορία: Εργασία.
ΕΛΑΣ,Εργασιακό Νομοσχέδιο (Νόμος Χατζηδάκη - Διευθέτηση) (2021),Εργασία,ΚΑΤΑ,Το κόμμα ΕΛΑΣ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Εργασιακό Νομοσχέδιο (Νόμος Χατζηδάκη - Διευθέτηση) (2021)' που αφορά την κατηγορία: Εργασία.
ΠΑΣΟΚ,Εργασιακό Νομοσχέδιο (Νόμος Χατζηδάκη - Διευθέτηση) (2021),Εργασία,ΚΑΤΑ,Το κόμμα ΠΑΣΟΚ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Εργασιακό Νομοσχέδιο (Νόμος Χατζηδάκη - Διευθέτηση) (2021)' που αφορά την κατηγορία: Εργασία.
ΚΚΕ,Εργασιακό Νομοσχέδιο (Νόμος Χατζηδάκη - Διευθέτηση) (2021),Εργασία,ΚΑΤΑ,Το κόμμα ΚΚΕ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Εργασιακό Νομοσχέδιο (Νόμος Χατζηδάκη - Διευθέτηση) (2021)' που αφορά την κατηγορία: Εργασία.
Ελληνική_Λύση,Εργασιακό Νομοσχέδιο (Νόμος Χατζηδάκη - Διευθέτηση) (2021),Εργασία,ΚΑΤΑ,Το κόμμα Ελληνική_Λύση ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Εργασιακό Νομοσχέδιο (Νόμος Χατζηδάκη - Διευθέτηση) (2021)' που αφορά την κατηγορία: Εργασία.
Πλεύση_Ελευθερίας,Εργασιακό Νομοσχέδιο (Νόμος Χατζηδάκη - Διευθέτηση) (2021),Εργασία,ΚΑΤΑ,Το κόμμα Πλεύση_Ελευθερίας ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Εργασιακό Νομοσχέδιο (Νόμος Χατζηδάκη - Διευθέτηση) (2021)' που αφορά την κατηγορία: Εργασία.
ΜέΡΑ25,Εργασιακό Νομοσχέδιο (Νόμος Χατζηδάκη - Διευθέτηση) (2021),Εργασία,ΚΑΤΑ,Το κόμμα ΜέΡΑ25 ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Εργασιακό Νομοσχέδιο (Νόμος Χατζηδάκη - Διευθέτηση) (2021)' που αφορά την κατηγορία: Εργασία.
Φωνή_Λογικής,Εργασιακό Νομοσχέδιο (Νόμος Χατζηδάκη - Διευθέτηση) (2021),Εργασία,ΥΠΕΡ,Το κόμμα Φωνή_Λογικής ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Εργασιακό Νομοσχέδιο (Νόμος Χατζηδάκη - Διευθέτηση) (2021)' που αφορά την κατηγορία: Εργασία.
Εθνικό_Κόμμα_Έλληνες,Εργασιακό Νομοσχέδιο (Νόμος Χατζηδάκη - Διευθέτηση) (2021),Εργασία,ΚΑΤΑ,Το κόμμα Εθνικό_Κόμμα_Έλληνες ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Εργασιακό Νομοσχέδιο (Νόμος Χατζηδάκη - Διευθέτηση) (2021)' που αφορά την κατηγορία: Εργασία.
ΝΔ,Νέο Φορολογικό Νομοσχέδιο (Τεκμαρτό Ελ. Επαγγελματιών) (2023),Οικονομία,ΥΠΕΡ,Το κόμμα ΝΔ ψήφισε 'ΥΠΕΡ' στο νομοσχέδιο 'Νέο Φορολογικό Νομοσχέδιο (Τεκμαρτό Ελ. Επαγγελματιών) (2023)' που αφορά την κατηγορία: Οικονομία.
ΕΛΑΣ,Νέο Φορολογικό Νομοσχέδιο (Τεκμαρτό Ελ. Επαγγελματιών) (2023),Οικονομία,ΚΑΤΑ,Το κόμμα ΕΛΑΣ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νέο Φορολογικό Νομοσχέδιο (Τεκμαρτό Ελ. Επαγγελματιών) (2023)' που αφορά την κατηγορία: Οικονομία.
ΠΑΣΟΚ,Νέο Φορολογικό Νομοσχέδιο (Τεκμαρτό Ελ. Επαγγελματιών) (2023),Οικονομία,ΚΑΤΑ,Το κόμμα ΠΑΣΟΚ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νέο Φορολογικό Νομοσχέδιο (Τεκμαρτό Ελ. Επαγγελματιών) (2023)' που αφορά την κατηγορία: Οικονομία.
ΚΚΕ,Νέο Φορολογικό Νομοσχέδιο (Τεκμαρτό Ελ. Επαγγελματιών) (2023),Οικονομία,ΚΑΤΑ,Το κόμμα ΚΚΕ ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νέο Φορολογικό Νομοσχέδιο (Τεκμαρτό Ελ. Επαγγελματιών) (2023)' που αφορά την κατηγορία: Οικονομία.
Ελληνική_Λύση,Νέο Φορολογικό Νομοσχέδιο (Τεκμαρτό Ελ. Επαγγελματιών) (2023),Οικονομία,ΚΑΤΑ,Το κόμμα Ελληνική_Λύση ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νέο Φορολογικό Νομοσχέδιο (Τεκμαρτό Ελ. Επαγγελματιών) (2023)' που αφορά την κατηγορία: Οικονομία.
Πλεύση_Ελευθερίας,Νέο Φορολογικό Νομοσχέδιο (Τεκμαρτό Ελ. Επαγγελματιών) (2023),Οικονομία,ΚΑΤΑ,Το κόμμα Πλεύση_Ελευθερίας ψήφισε 'ΚΑΤΑ' στο νομοσχέδιο 'Νέο Φορολογικό Νομοσχέδιο (Τεκμαρτό Ελ. Επαγγελματιών) (2023)' που αφορά την κατηγορία: Οικονομία.
